web-scraper-order,web-scraper-start-url,season,season-href,anime,anime-href,name,score,rank,popularity,members,season_repeat,type,studio
1648522210-269,https://myanimelist.net/anime/season/archive,Fall 1979,https://myanimelist.net/anime/season/1979/fall,Kagaku Ninja-tai Gatchaman F,https://myanimelist.net/anime/6375/Kagaku_Ninja-tai_Gatchaman_F,Kagaku Ninja-tai Gatchaman F,6.47,#6415,#9645,"2,027",Fall 1979,TV,Tatsunoko Production
1648545808-3980,https://myanimelist.net/anime/season/archive,Winter 2017,https://myanimelist.net/anime/season/2017/winter,Choboraunyopomi Gekijou Dai San Maku Ai Mai Mii: Surgical Friends,https://myanimelist.net/anime/34295/Choboraunyopomi_Gekijou_Dai_San_Maku_Ai_Mai_Mii__Surgical_Friends,Choboraunyopomi Gekijou Dai San Maku Ai Mai Mii: Surgical Friends,6.07,#8436,#5625,"9,362",Winter 2017,TV,Seven
1648538919-2869,https://myanimelist.net/anime/season/archive,Summer 2013,https://myanimelist.net/anime/season/2013/summer,Lovely Movie: Itoshi no Muco,https://myanimelist.net/anime/23897/Lovely_Movie__Itoshi_no_Muco,Lovely Movie: Itoshi no Muco,6.36,#7006,#10780,"1,302",Summer 2013,TV,Doga Kobo
1648550418-4725,https://myanimelist.net/anime/season/archive,Fall 2021,https://myanimelist.net/anime/season/2021/fall,Blue Period,https://myanimelist.net/anime/46352/Blue_Period,Blue Period,7.87,#743,#582,"315,762",Fall 2021,TV,Seven Arcs
1648522533-315,https://myanimelist.net/anime/season/archive,Winter 1980,https://myanimelist.net/anime/season/1980/winter,Nils no Fushigi na Tabi,https://myanimelist.net/anime/2151/Nils_no_Fushigi_na_Tabi,Nils no Fushigi na Tabi,7.1,#3388,#6819,"5,800",Winter 1980,TV,Studio Pierrot
1648536329-2454,https://myanimelist.net/anime/season/archive,Winter 2010,https://myanimelist.net/anime/season/2010/winter,Cobra The Animation,https://myanimelist.net/anime/5032/Cobra_The_Animation,Cobra The Animation,7.09,#3431,#5994,"8,043",Winter 2010,TV,Magic Bus
1648542385-3428,https://myanimelist.net/anime/season/archive,Spring 2015,https://myanimelist.net/anime/season/2015/spring,Yamada-kun to 7-nin no Majo (TV),https://myanimelist.net/anime/28677/Yamada-kun_to_7-nin_no_Majo_TV,Yamada-kun to 7-nin no Majo (TV),7.58,#1384,#224,"686,490",Spring 2015,TV,LIDENFILMS
1648546716-4129,https://myanimelist.net/anime/season/archive,Summer 2018,https://myanimelist.net/anime/season/2018/summer,Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,https://myanimelist.net/anime/37491/Gintama__Shirogane_no_Tamashii-hen_-_Kouhan-sen,Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,8.89,#22,#1190,"158,548",Summer 2018,TV,Bandai Namco Pictures
1648545904-3996,https://myanimelist.net/anime/season/archive,Winter 2017,https://myanimelist.net/anime/season/2017/winter,Hand Shakers,https://myanimelist.net/anime/32981/Hand_Shakers,Hand Shakers,5.29,#11250,#1748,"96,538",Winter 2017,TV,GoHands
1648539820-3009,https://myanimelist.net/anime/season/archive,Winter 2013,https://myanimelist.net/anime/season/2013/winter,Kotoura-san,https://myanimelist.net/anime/15379/Kotoura-san,Kotoura-san,7.19,#2976,#604,"307,144",Winter 2013,TV,AIC Classic
1648539844-3013,https://myanimelist.net/anime/season/archive,Winter 2013,https://myanimelist.net/anime/season/2013/winter,Boku wa Tomodachi ga Sukunai Next,https://myanimelist.net/anime/14967/Boku_wa_Tomodachi_ga_Sukunai_Next,Boku wa Tomodachi ga Sukunai Next,7.32,#2343,#360,"485,578",Winter 2013,TV,AIC Build
1648538745-2841,https://myanimelist.net/anime/season/archive,Fall 2013,https://myanimelist.net/anime/season/2013/fall,Pokemon XY,https://myanimelist.net/anime/19291/Pokemon_XY,Pokemon XY,7.32,#2319,#1311,"141,599",Fall 2013,TV,OLM
1648548385-4401,https://myanimelist.net/anime/season/archive,Spring 2019,https://myanimelist.net/anime/season/2019/spring,Choukadou Girl ?,https://myanimelist.net/anime/38226/Choukadou_Girl_%E2%85%99,Choukadou Girl ?,5.98,#8873,#4610,"15,425",Spring 2019,TV,Studio A-CAT
1648522252-274,https://myanimelist.net/anime/season/archive,Spring 1979,https://myanimelist.net/anime/season/1979/spring,Shin Kyojin no Hoshi II,https://myanimelist.net/anime/16486/Shin_Kyojin_no_Hoshi_II,Shin Kyojin no Hoshi II,N/A,#13774,#13305,500,Spring 1979,TV,null
1648549760-4619,https://myanimelist.net/anime/season/archive,Spring 2020,https://myanimelist.net/anime/season/2020/spring,"Hachi-nan tte, Sore wa Nai deshou!",https://myanimelist.net/anime/38830/Hachi-nan_tte_Sore_wa_Nai_deshou,"Hachi-nan tte, Sore wa Nai deshou!",6.24,#7616,#1028,"182,056",Spring 2020,TV,SynergySP
1648527805-1102,https://myanimelist.net/anime/season/archive,Spring 2000,https://myanimelist.net/anime/season/2000/spring,Anime Roukyoku Kikou Shimizu no Jirochouden,https://myanimelist.net/anime/25063/Anime_Roukyoku_Kikou_Shimizu_no_Jirochouden,Anime Roukyoku Kikou Shimizu no Jirochouden,N/A,#15303,#15405,275,Spring 2000,TV,null
1648526059-834,https://myanimelist.net/anime/season/archive,Summer 1996,https://myanimelist.net/anime/season/1996/summer,Akachan to Boku,https://myanimelist.net/anime/1485/Akachan_to_Boku,Akachan to Boku,7.82,#831,#4123,"20,046",Summer 1996,TV,Studio Pierrot
1648526575-909,https://myanimelist.net/anime/season/archive,Fall 1998,https://myanimelist.net/anime/season/1998/fall,Ojarumaru,https://myanimelist.net/anime/4459/Ojarumaru,Ojarumaru,6.34,#7065,#10285,"1,607",Fall 1998,TV,Gallop
1648523303-428,https://myanimelist.net/anime/season/archive,Spring 1984,https://myanimelist.net/anime/season/1984/spring,Ranpou,https://myanimelist.net/anime/16526/Ranpou,Ranpou,N/A,#13434,#14453,350,Spring 1984,TV,null
1648533531-2011,https://myanimelist.net/anime/season/archive,Winter 2007,https://myanimelist.net/anime/season/2007/winter,Getsumen To Heiki Mina,https://myanimelist.net/anime/1865/Getsumen_To_Heiki_Mina,Getsumen To Heiki Mina,6.27,#7439,#6169,"7,490",Winter 2007,TV,Gonzo
1648536410-2468,https://myanimelist.net/anime/season/archive,Winter 2010,https://myanimelist.net/anime/season/2010/winter,Baka to Test to Shoukanjuu,https://myanimelist.net/anime/6347/Baka_to_Test_to_Shoukanjuu,Baka to Test to Shoukanjuu,7.55,#1469,#278,"586,196",Winter 2010,TV,SILVER LINK.
1648535827-2375,https://myanimelist.net/anime/season/archive,Summer 2010,https://myanimelist.net/anime/season/2010/summer,Shuimu Juchang Xi You Ji,https://myanimelist.net/anime/45540/Shuimu_Juchang_Xi_You_Ji,Shuimu Juchang Xi You Ji,N/A,#13884,#18688,51,Summer 2010,TV,null
1648521711-198,https://myanimelist.net/anime/season/archive,Fall 1976,https://myanimelist.net/anime/season/1976/fall,Manga Sekai Mukashibanashi,https://myanimelist.net/anime/6262/Manga_Sekai_Mukashibanashi,Manga Sekai Mukashibanashi,6.97,#3966,#10395,"1,535",Fall 1976,TV,Madhouse
1648538631-2822,https://myanimelist.net/anime/season/archive,Fall 2013,https://myanimelist.net/anime/season/2013/fall,Gaist Crusher,https://myanimelist.net/anime/19871/Gaist_Crusher,Gaist Crusher,5.78,#9662,#9391,"2,245",Fall 2013,TV,Studio Pierrot
1648521236-131,https://myanimelist.net/anime/season/archive,Fall 1973,https://myanimelist.net/anime/season/1973/fall,Samurai Giants,https://myanimelist.net/anime/9916/Samurai_Giants,Samurai Giants,6.34,#7067,#11158,"1,118",Fall 1973,TV,Madhouse
1648526885-958,https://myanimelist.net/anime/season/archive,Spring 1998,https://myanimelist.net/anime/season/1998/spring,Legend of Basara,https://myanimelist.net/anime/633/Legend_of_Basara,Legend of Basara,7.29,#2481,#5241,"11,154",Spring 1998,TV,KSS
1648539995-3037,https://myanimelist.net/anime/season/archive,Fall 2014,https://myanimelist.net/anime/season/2014/fall,Girlfriend (Kari),https://myanimelist.net/anime/24855/Girlfriend_Kari,Girlfriend (Kari),5.93,#9104,#2918,"40,392",Fall 2014,TV,SILVER LINK.
1648536153-2427,https://myanimelist.net/anime/season/archive,Spring 2010,https://myanimelist.net/anime/season/2010/spring,Major S6,https://myanimelist.net/anime/7655/Major_S6,Major S6,8.34,#204,#2437,"56,973",Spring 2010,TV,SynergySP
1648545543-3939,https://myanimelist.net/anime/season/archive,Spring 2017,https://myanimelist.net/anime/season/2017/spring,Fukumenkei Noise,https://myanimelist.net/anime/33203/Fukumenkei_Noise,Fukumenkei Noise,6.98,#3939,#1597,"108,532",Spring 2017,TV,Brain's Base
1648527233-1013,https://myanimelist.net/anime/season/archive,Fall 1999,https://myanimelist.net/anime/season/1999/fall,"Ima, Soko ni Iru Boku",https://myanimelist.net/anime/160/Ima_Soko_ni_Iru_Boku,"Ima, Soko ni Iru Boku",7.63,#1254,#1444,"123,701",Fall 1999,TV,AIC
1648530804-1578,https://myanimelist.net/anime/season/archive,Fall 2005,https://myanimelist.net/anime/season/2005/fall,Lamune,https://myanimelist.net/anime/670/Lamune,Lamune,6.81,#4660,#2966,"39,460",Fall 2005,TV,Trinet Entertainment
1648550093-4672,https://myanimelist.net/anime/season/archive,Winter 2020,https://myanimelist.net/anime/season/2020/winter,Kyokou Suiri,https://myanimelist.net/anime/39017/Kyokou_Suiri,Kyokou Suiri,6.91,#4223,#503,"356,255",Winter 2020,TV,Brain's Base
1648523670-481,https://myanimelist.net/anime/season/archive,Spring 1986,https://myanimelist.net/anime/season/1986/spring,Konna Ko Iru kana,https://myanimelist.net/anime/30129/Konna_Ko_Iru_kana,Konna Ko Iru kana,N/A,#17316,#17047,174,Spring 1986,TV,null
1648532364-1829,https://myanimelist.net/anime/season/archive,Spring 2006,https://myanimelist.net/anime/season/2006/spring,Nana,https://myanimelist.net/anime/877/Nana,Nana,8.51,#110,#328,"532,600",Spring 2006,TV,Madhouse
1648538083-2733,https://myanimelist.net/anime/season/archive,Spring 2012,https://myanimelist.net/anime/season/2012/spring,Duel Masters Victory V,https://myanimelist.net/anime/21997/Duel_Masters_Victory_V,Duel Masters Victory V,5.88,#9302,#11496,977,Spring 2012,TV,null
1648536074-2414,https://myanimelist.net/anime/season/archive,Spring 2010,https://myanimelist.net/anime/season/2010/spring,Ring ni Kakero 1: Kage Dou-hen,https://myanimelist.net/anime/7793/Ring_ni_Kakero_1__Kage_Dou-hen,Ring ni Kakero 1: Kage Dou-hen,6.4,#6764,#10369,"1,551",Spring 2010,TV,Toei Animation
1648549944-4648,https://myanimelist.net/anime/season/archive,Winter 2020,https://myanimelist.net/anime/season/2020/winter,A3! Season Spring & Summer,https://myanimelist.net/anime/39184/A3_Season_Spring___Summer,A3! Season Spring & Summer,7.15,#3156,#3468,"29,344",Winter 2020,TV,P.A. Works
1648547298-4224,https://myanimelist.net/anime/season/archive,Winter 2018,https://myanimelist.net/anime/season/2018/winter,Pikachin-Kit,https://myanimelist.net/anime/36552/Pikachin-Kit,Pikachin-Kit,N/A,#13273,#14006,396,Winter 2018,TV,OLM
1648541264-3245,https://myanimelist.net/anime/season/archive,Winter 2014,https://myanimelist.net/anime/season/2014/winter,Nisekoi,https://myanimelist.net/anime/18897/Nisekoi,Nisekoi,7.6,#1317,#107,"1,038,510",Winter 2014,TV,Shaft
1648545724-3967,https://myanimelist.net/anime/season/archive,Winter 2017,https://myanimelist.net/anime/season/2017/winter,Yukai na Animal Bus,https://myanimelist.net/anime/34794/Yukai_na_Animal_Bus,Yukai na Animal Bus,N/A,#15017,#15649,261,Winter 2017,TV,TMS Entertainment
1648539742-2996,https://myanimelist.net/anime/season/archive,Winter 2013,https://myanimelist.net/anime/season/2013/winter,Pokemon Best Wishes! Season 2: Episode N,https://myanimelist.net/anime/17115/Pokemon_Best_Wishes_Season_2__Episode_N,Pokemon Best Wishes! Season 2: Episode N,6.65,#5464,#2962,"39,541",Winter 2013,TV,OLM
1648521813-212,https://myanimelist.net/anime/season/archive,Winter 1976,https://myanimelist.net/anime/season/1976/winter,Huckleberry no Bouken,https://myanimelist.net/anime/2545/Huckleberry_no_Bouken,Huckleberry no Bouken,6.16,#8016,#10201,"1,663",Winter 1976,TV,Group TAC
1648521164-121,https://myanimelist.net/anime/season/archive,Spring 1972,https://myanimelist.net/anime/season/1972/spring,Anime Document: M?nchen e no Michi,https://myanimelist.net/anime/20237/Anime_Document__M%C3%BCnchen_e_no_Michi,Anime Document: M?nchen e no Michi,N/A,#15296,#13955,403,Spring 1972,TV,null
1648534037-2090,https://myanimelist.net/anime/season/archive,Summer 2008,https://myanimelist.net/anime/season/2008/summer,Slayers Revolution,https://myanimelist.net/anime/4028/Slayers_Revolution,Slayers Revolution,7.26,#2625,#3174,"34,848",Summer 2008,TV,J.C.Staff
1648533019-1931,https://myanimelist.net/anime/season/archive,Summer 2007,https://myanimelist.net/anime/season/2007/summer,Mononoke,https://myanimelist.net/anime/2246/Mononoke,Mononoke,8.43,#148,#706,"271,573",Summer 2007,TV,Toei Animation
1648532496-1850,https://myanimelist.net/anime/season/archive,Winter 2006,https://myanimelist.net/anime/season/2006/winter,Kagi Hime Monogatari: Eikyuu Alice Rondo,https://myanimelist.net/anime/577/Kagi_Hime_Monogatari__Eikyuu_Alice_Rondo,Kagi Hime Monogatari: Eikyuu Alice Rondo,6.18,#7906,#6049,"7,865",Winter 2006,TV,Trinet Entertainment
1648532070-1780,https://myanimelist.net/anime/season/archive,Spring 2006,https://myanimelist.net/anime/season/2006/spring,Bakegyamon,https://myanimelist.net/anime/2786/Bakegyamon,Bakegyamon,6.65,#5437,#8603,"3,031",Spring 2006,TV,Radix
1648551680-4923,https://myanimelist.net/anime/season/archive,Summer 2022,https://myanimelist.net/anime/season/2022/summer,"Tensei Kenja no Isekai Life: Dai-2 no Shokugyou wo Ete, Sekai Saikyou ni Narimashita",https://myanimelist.net/anime/47163/Tensei_Kenja_no_Isekai_Life__Dai-2_no_Shokugyou_wo_Ete_Sekai_Saikyou_ni_Narimashita,"Tensei Kenja no Isekai Life: Dai-2 no Shokugyou wo Ete, Sekai Saikyou ni Narimashita",N/A,N/A,#3851,"23,458",Summer 2022,TV,Revoroot
1648543493-3608,https://myanimelist.net/anime/season/archive,Summer 2016,https://myanimelist.net/anime/season/2016/summer,Kono Bijutsubu ni wa Mondai ga Aru!,https://myanimelist.net/anime/31952/Kono_Bijutsubu_ni_wa_Mondai_ga_Aru,Kono Bijutsubu ni wa Mondai ga Aru!,7.21,#2880,#723,"264,414",Summer 2016,TV,feel.
1648533561-2016,https://myanimelist.net/anime/season/archive,Winter 2007,https://myanimelist.net/anime/season/2007/winter,Yes! Precure 5,https://myanimelist.net/anime/1932/Yes_Precure_5,Yes! Precure 5,7.17,#3095,#4690,"14,744",Winter 2007,TV,Toei Animation
1648549045-4507,https://myanimelist.net/anime/season/archive,Fall 2020,https://myanimelist.net/anime/season/2020/fall,Senyoku no Sigrdrifa,https://myanimelist.net/anime/41372/Senyoku_no_Sigrdrifa,Senyoku no Sigrdrifa,6.44,#6556,#2949,"39,891",Fall 2020,TV,A-1 Pictures
1648532735-1888,https://myanimelist.net/anime/season/archive,Fall 2007,https://myanimelist.net/anime/season/2007/fall,Prism Ark,https://myanimelist.net/anime/1807/Prism_Ark,Prism Ark,6.43,#6638,#4014,"21,504",Fall 2007,TV,Front Line
1648542897-3511,https://myanimelist.net/anime/season/archive,Fall 2016,https://myanimelist.net/anime/season/2016/fall,Monster Hunter Stories: Ride On,https://myanimelist.net/anime/31631/Monster_Hunter_Stories__Ride_On,Monster Hunter Stories: Ride On,6.26,#7475,#4748,"14,332",Fall 2016,TV,David Production
1648542831-3500,https://myanimelist.net/anime/season/archive,Fall 2016,https://myanimelist.net/anime/season/2016/fall,Sengoku Choujuu Giga: Kou,https://myanimelist.net/anime/33803/Sengoku_Choujuu_Giga__Kou,Sengoku Choujuu Giga: Kou,5.87,#9345,#6780,"5,917",Fall 2016,TV,ILCA
1648520213-3,https://myanimelist.net/anime/season/archive,Fall 1963,https://myanimelist.net/anime/season/1963/fall,Ookami Shounen Ken,https://myanimelist.net/anime/17521/Ookami_Shounen_Ken,Ookami Shounen Ken,N/A,#13093,#13059,550,Fall 1963,TV,Toei Animation
1648524109-546,https://myanimelist.net/anime/season/archive,Spring 1988,https://myanimelist.net/anime/season/1988/spring,What's Michael? (TV),https://myanimelist.net/anime/12039/Whats_Michael_TV,What's Michael? (TV),N/A,#14680,#12238,746,Spring 1988,TV,Daume
1648531561-1699,https://myanimelist.net/anime/season/archive,Fall 2006,https://myanimelist.net/anime/season/2006/fall,Ryuusei no Rockman,https://myanimelist.net/anime/1835/Ryuusei_no_Rockman,Ryuusei no Rockman,7.09,#3450,#5087,"12,116",Fall 2006,TV,Xebec
1648527462-1049,https://myanimelist.net/anime/season/archive,Spring 1999,https://myanimelist.net/anime/season/1999/spring,Kaikan Phrase,https://myanimelist.net/anime/1021/Kaikan_Phrase,Kaikan Phrase,7.36,#2172,#5053,"12,324",Spring 1999,TV,Studio Hibari
1648534229-2121,https://myanimelist.net/anime/season/archive,Spring 2008,https://myanimelist.net/anime/season/2008/spring,Crystal Blaze,https://myanimelist.net/anime/3840/Crystal_Blaze,Crystal Blaze,6.14,#8114,#4552,"15,987",Spring 2008,TV,Studio Fantasia
1648527015-978,https://myanimelist.net/anime/season/archive,Winter 1998,https://myanimelist.net/anime/season/1998/winter,Bakusou Kyoudai Let's & Go MAX,https://myanimelist.net/anime/2709/Bakusou_Kyoudai_Lets___Go_MAX,Bakusou Kyoudai Let's & Go MAX,6.62,#5603,#8278,"3,445",Winter 1998,TV,Xebec
1648532094-1784,https://myanimelist.net/anime/season/archive,Spring 2006,https://myanimelist.net/anime/season/2006/spring,Onegai My Melody: Kuru Kuru Shuffle!,https://myanimelist.net/anime/4114/Onegai_My_Melody__Kuru_Kuru_Shuffle,Onegai My Melody: Kuru Kuru Shuffle!,7.32,#2317,#7572,"4,492",Spring 2006,TV,Studio Comet
1648547952-4331,https://myanimelist.net/anime/season/archive,Fall 2019,https://myanimelist.net/anime/season/2019/fall,Sword Art Online: Alicization - War of Underworld,https://myanimelist.net/anime/39597/Sword_Art_Online__Alicization_-_War_of_Underworld,Sword Art Online: Alicization - War of Underworld,7.58,#1380,#262,"612,008",Fall 2019,TV,A-1 Pictures
1648544623-3789,https://myanimelist.net/anime/season/archive,Fall 2017,https://myanimelist.net/anime/season/2017/fall,Sengoku Night Blood,https://myanimelist.net/anime/35251/Sengoku_Night_Blood,Sengoku Night Blood,6.14,#8088,#2953,"39,735",Fall 2017,TV,Typhoon Graphics
1648525066-687,https://myanimelist.net/anime/season/archive,Summer 1992,https://myanimelist.net/anime/season/1992/summer,Yadamon,https://myanimelist.net/anime/2806/Yadamon,Yadamon,6.31,#7264,#10958,"1,212",Summer 1992,TV,null
1648535780-2370,https://myanimelist.net/anime/season/archive,Fall 2010,https://myanimelist.net/anime/season/2010/fall,Toaru Majutsu no Index II,https://myanimelist.net/anime/8937/Toaru_Majutsu_no_Index_II,Toaru Majutsu no Index II,7.56,#1446,#426,"418,225",Fall 2010,TV,J.C.Staff
1648548937-4489,https://myanimelist.net/anime/season/archive,Fall 2020,https://myanimelist.net/anime/season/2020/fall,Himitsukessha Taka no Tsume: Golden Spell,https://myanimelist.net/anime/42657/Himitsukessha_Taka_no_Tsume__Golden_Spell,Himitsukessha Taka no Tsume: Golden Spell,6.18,#7898,#11537,965,Fall 2020,TV,DLE
1648538341-2776,https://myanimelist.net/anime/season/archive,Spring 2012,https://myanimelist.net/anime/season/2012/spring,Sankarea,https://myanimelist.net/anime/11499/Sankarea,Sankarea,7.31,#2389,#317,"546,389",Spring 2012,TV,Studio Deen
1648548415-4406,https://myanimelist.net/anime/season/archive,Spring 2019,https://myanimelist.net/anime/season/2019/spring,Hachigatsu no Cinderella Nine (TV),https://myanimelist.net/anime/38091/Hachigatsu_no_Cinderella_Nine_TV,Hachigatsu no Cinderella Nine (TV),6.11,#8245,#3778,"24,548",Spring 2019,TV,TMS Entertainment
1648522510-311,https://myanimelist.net/anime/season/archive,Winter 1980,https://myanimelist.net/anime/season/1980/winter,Time Bokan Series: Time Patroltai Otasukeman,https://myanimelist.net/anime/8553/Time_Bokan_Series__Time_Patroltai_Otasukeman,Time Bokan Series: Time Patroltai Otasukeman,6.14,#8096,#11513,971,Winter 1980,TV,Tatsunoko Production
1648531088-1623,https://myanimelist.net/anime/season/archive,Spring 2005,https://myanimelist.net/anime/season/2005/spring,Yuki no Joou (TV),https://myanimelist.net/anime/754/Yuki_no_Joou_TV,Yuki no Joou (TV),6.99,#3921,#7935,"3,945",Spring 2005,TV,TMS Entertainment
1648543523-3613,https://myanimelist.net/anime/season/archive,Summer 2016,https://myanimelist.net/anime/season/2016/summer,Berserk,https://myanimelist.net/anime/32379/Berserk,Berserk,6.3,#7290,#598,"310,002",Summer 2016,TV,Millepensee
1648528466-1208,https://myanimelist.net/anime/season/archive,Spring 2001,https://myanimelist.net/anime/season/2001/spring,The SoulTaker: Tamashii-gari,https://myanimelist.net/anime/1048/The_SoulTaker__Tamashii-gari,The SoulTaker: Tamashii-gari,6.35,#7056,#3817,"24,073",Spring 2001,TV,Tatsunoko Production
1648524567-612,https://myanimelist.net/anime/season/archive,Summer 1990,https://myanimelist.net/anime/season/1990/summer,Narara Superboard,https://myanimelist.net/anime/32136/Narara_Superboard,Narara Superboard,N/A,#12806,#14723,328,Summer 1990,TV,null
1648535932-2392,https://myanimelist.net/anime/season/archive,Summer 2010,https://myanimelist.net/anime/season/2010/summer,Asobi ni Iku yo!,https://myanimelist.net/anime/6166/Asobi_ni_Iku_yo,Asobi ni Iku yo!,6.61,#5641,#1031,"181,733",Summer 2010,TV,AIC PLUS+
1648543999-3687,https://myanimelist.net/anime/season/archive,Spring 2016,https://myanimelist.net/anime/season/2016/spring,Tanaka-kun wa Itsumo Kedaruge,https://myanimelist.net/anime/32093/Tanaka-kun_wa_Itsumo_Kedaruge,Tanaka-kun wa Itsumo Kedaruge,7.86,#759,#447,"399,400",Spring 2016,TV,SILVER LINK.
1648550676-4766,https://myanimelist.net/anime/season/archive,Summer 2021,https://myanimelist.net/anime/season/2021/summer,Kanojo mo Kanojo,https://myanimelist.net/anime/43969/Kanojo_mo_Kanojo,Kanojo mo Kanojo,6.61,#5664,#729,"263,393",Summer 2021,TV,Tezuka Productions
1648547995-4337,https://myanimelist.net/anime/season/archive,Summer 2019,https://myanimelist.net/anime/season/2019/summer,Odoru Mowai-kun,https://myanimelist.net/anime/40040/Odoru_Mowai-kun,Odoru Mowai-kun,5.44,#10818,#12915,579,Summer 2019,TV,Monster's Egg
1648527317-1026,https://myanimelist.net/anime/season/archive,Summer 1999,https://myanimelist.net/anime/season/1999/summer,Mahoutsukai Tai! (TV),https://myanimelist.net/anime/630/Mahoutsukai_Tai_TV,Mahoutsukai Tai! (TV),6.75,#4955,#5486,"9,950",Summer 1999,TV,Madhouse
1648525547-756,https://myanimelist.net/anime/season/archive,Spring 1994,https://myanimelist.net/anime/season/1994/spring,Kitty's Paradise,https://myanimelist.net/anime/4023/Kittys_Paradise,Kitty's Paradise,6.5,#6282,#10388,"1,537",Spring 1994,TV,Sanrio
1648545995-4011,https://myanimelist.net/anime/season/archive,Winter 2017,https://myanimelist.net/anime/season/2017/winter,Little Witch Academia (TV),https://myanimelist.net/anime/33489/Little_Witch_Academia_TV,Little Witch Academia (TV),7.83,#820,#304,"561,426",Winter 2017,TV,Trigger
1648552293-5017,https://myanimelist.net/anime/season/archive,Winter 2022,https://myanimelist.net/anime/season/2022/winter,Karakai Jouzu no Takagi-san 3,https://myanimelist.net/anime/49721/Karakai_Jouzu_no_Takagi-san_3,Karakai Jouzu no Takagi-san 3,8.54,#97,#1522,"114,530",Winter 2022,TV,Shin-Ei Animation
1648532932-1916,https://myanimelist.net/anime/season/archive,Summer 2007,https://myanimelist.net/anime/season/2007/summer,Happy Happy Clover,https://myanimelist.net/anime/5276/Happy_Happy_Clover,Happy Happy Clover,6.35,#7025,#10476,"1,474",Summer 2007,TV,Group TAC
1648537046-2565,https://myanimelist.net/anime/season/archive,Spring 2011,https://myanimelist.net/anime/season/2011/spring,Genki!! Ekoda-chan,https://myanimelist.net/anime/10540/Genki_Ekoda-chan,Genki!! Ekoda-chan,5.83,#9449,#11619,935,Spring 2011,TV,DLE
1648521440-159,https://myanimelist.net/anime/season/archive,Spring 1974,https://myanimelist.net/anime/season/1974/spring,Judo Sanka,https://myanimelist.net/anime/11857/Judo_Sanka,Judo Sanka,N/A,#16910,#13532,464,Spring 1974,TV,null
1648523549-465,https://myanimelist.net/anime/season/archive,Spring 1985,https://myanimelist.net/anime/season/1985/spring,Honoo no Alpenrose: Judy & Randy,https://myanimelist.net/anime/3807/Honoo_no_Alpenrose__Judy___Randy,Honoo no Alpenrose: Judy & Randy,6.74,#5021,#8697,"2,933",Spring 1985,TV,Tatsunoko Production
1648532315-1821,https://myanimelist.net/anime/season/archive,Spring 2006,https://myanimelist.net/anime/season/2006/spring,Saiunkoku Monogatari,https://myanimelist.net/anime/957/Saiunkoku_Monogatari,Saiunkoku Monogatari,7.9,#700,#1860,"87,615",Spring 2006,TV,Madhouse
1648524469-601,https://myanimelist.net/anime/season/archive,Winter 1989,https://myanimelist.net/anime/season/1989/winter,Chinpui,https://myanimelist.net/anime/5908/Chinpui,Chinpui,6.11,#8242,#11090,"1,153",Winter 1989,TV,Production I.G
1648521597-181,https://myanimelist.net/anime/season/archive,Spring 1975,https://myanimelist.net/anime/season/1975/spring,La Seine no Hoshi,https://myanimelist.net/anime/3054/La_Seine_no_Hoshi,La Seine no Hoshi,6.53,#6092,#9315,"2,298",Spring 1975,TV,Sunrise
1648546511-4095,https://myanimelist.net/anime/season/archive,Summer 2018,https://myanimelist.net/anime/season/2018/summer,Marvel Future Avengers 2nd Season,https://myanimelist.net/anime/37151/Marvel_Future_Avengers_2nd_Season,Marvel Future Avengers 2nd Season,5.8,#9591,#10594,"1,407",Summer 2018,TV,Madhouse
1648526914-963,https://myanimelist.net/anime/season/archive,Spring 1998,https://myanimelist.net/anime/season/1998/spring,Lodoss-tou Senki: Eiyuu Kishi Den,https://myanimelist.net/anime/206/Lodoss-tou_Senki__Eiyuu_Kishi_Den,Lodoss-tou Senki: Eiyuu Kishi Den,7.14,#3250,#3507,"28,600",Spring 1998,TV,AIC
1648545279-3895,https://myanimelist.net/anime/season/archive,Spring 2017,https://myanimelist.net/anime/season/2017/spring,Akita Kenritsu Iburi Gakkou Chuutou-bu,https://myanimelist.net/anime/35226/Akita_Kenritsu_Iburi_Gakkou_Chuutou-bu,Akita Kenritsu Iburi Gakkou Chuutou-bu,N/A,#15267,#14051,391,Spring 2017,TV,null
1648533314-1979,https://myanimelist.net/anime/season/archive,Spring 2007,https://myanimelist.net/anime/season/2007/spring,Kaibutsu Oujo,https://myanimelist.net/anime/2130/Kaibutsu_Oujo,Kaibutsu Oujo,7,#3887,#2067,"73,620",Spring 2007,TV,Madhouse
1648548863-4478,https://myanimelist.net/anime/season/archive,Winter 2019,https://myanimelist.net/anime/season/2019/winter,5-toubun no Hanayome,https://myanimelist.net/anime/38101/5-toubun_no_Hanayome,5-toubun no Hanayome,7.68,#1127,#183,"749,244",Winter 2019,TV,Tezuka Productions
1648551858-4949,https://myanimelist.net/anime/season/archive,Spring 2022,https://myanimelist.net/anime/season,Build Divide: Code White,https://myanimelist.net/anime/48777/Build_Divide__Code_White,Build Divide: Code White,N/A,N/A,#6026,"7,936",Spring 2022,TV,LIDENFILMS
